StopId,Latitude,Longitude,City
589,41.891908,-87.618053,Chicago
760,41.891968,-87.615639,Chicago
759,41.892025,-87.612208,Chicago
5033,41.809151,-87.59182,Chicago
5034,41.80772,-87.590497,Chicago
5035,41.805877,-87.589335,Chicago
5036,41.803211,-87.588173,Chicago
1103,41.889919,-87.624258,Chicago
1102,41.89122,-87.624296,Chicago
1101,41.892724,-87.624333,Chicago
14510,41.786382,-87.606533,Chicago
18620,41.892706,-87.610892,Chicago
5004,41.89343,-87.620694,Chicago
5005,41.893398,-87.62257,Chicago
1431,41.874807,-87.627682,Chicago
1429,41.878394,-87.627757,Chicago
1423,41.885902,-87.628041,Chicago
1427,41.880988,-87.627823,Chicago
1430,41.877075,-87.627723,Chicago
1425,41.883445,-87.627966,Chicago
1656,41.791032,-87.586728,Chicago
1658,41.787877,-87.586587,Chicago
1421,41.888387,-87.625061,Chicago
2180,41.843452,-87.617152,Chicago
2166,41.829377,-87.616992,Chicago
2150,41.800393,-87.61607,Chicago
2818,41.721795,-87.616753,Chicago
2817,41.721738,-87.619202,Chicago
16001,41.722519,-87.614087,Chicago
2816,41.721732,-87.620918,Chicago
18353,41.853068,-87.620442,Chicago
582,41.896748,-87.62058,Chicago
15282,41.896735,-87.62234,Chicago
584,41.895184,-87.620371,Chicago
17397,41.848205,-87.617358,Chicago
2181,41.845573,-87.617247,Chicago
2179,41.842355,-87.617152,Chicago
2178,41.83978,-87.617072,Chicago
2171,41.838342,-87.617057,Chicago
2170,41.836912,-87.61696,Chicago
2168,41.833518,-87.616977,Chicago
2169,41.834917,-87.61696,Chicago
2167,41.831793,-87.616865,Chicago
2165,41.82778,-87.61696,Chicago
2164,41.825937,-87.616913,Chicago
2161,41.820595,-87.616785,Chicago
2160,41.81876,-87.616753,Chicago
2159,41.816963,-87.616753,Chicago
2158,41.815135,-87.616658,Chicago
2157,41.813268,-87.616595,Chicago
2156,41.811488,-87.616547,Chicago
2155,41.80978,-87.616547,Chicago
2154,41.807848,-87.616452,Chicago
2153,41.806068,-87.616405,Chicago
2152,41.8042,-87.616357,Chicago
2151,41.80242,-87.616087,Chicago
2149,41.798525,-87.616023,Chicago
2148,41.796532,-87.615975,Chicago
2145,41.793162,-87.615848,Chicago
15486,41.791365,-87.615848,Chicago
2143,41.789235,-87.615768,Chicago
2142,41.787558,-87.61572,Chicago
2141,41.7855,-87.615642,Chicago
2140,41.784102,-87.61572,Chicago
2139,41.78228,-87.615463,Chicago
2138,41.780483,-87.615433,Chicago
2137,41.778324,-87.615288,Chicago
2136,41.776727,-87.61545,Chicago
2135,41.77493,-87.615435,Chicago
2131,41.769582,-87.615292,Chicago
2130,41.767682,-87.61518,Chicago
2129,41.766005,-87.615197,Chicago
2128,41.764082,-87.615102,Chicago
17381,41.761905,-87.615133,Chicago
2126,41.760498,-87.615053,Chicago
2125,41.758655,-87.615037,Chicago
2124,41.75681,-87.614973,Chicago
2123,41.755015,-87.614927,Chicago
2122,41.753187,-87.614895,Chicago
2121,41.75139,-87.614847,Chicago
2120,41.749467,-87.614815,Chicago
2119,41.747758,-87.614798,Chicago
2118,41.745923,-87.614767,Chicago
2117,41.744247,-87.61472,Chicago
2116,41.742283,-87.614655,Chicago
2115,41.740407,-87.614592,Chicago
2114,41.73858,-87.614545,Chicago
2113,41.736807,-87.614497,Chicago
2112,41.734908,-87.614465,Chicago
18432,41.732711,-87.614341,Chicago
2110,41.731355,-87.614338,Chicago
2109,41.729472,-87.61429,Chicago
2107,41.725705,-87.61421,Chicago
2106,41.72406,-87.614178,Chicago
2132,41.77036,-87.615323,Chicago
2108,41.727127,-87.614258,Chicago
2147,41.795117,-87.615975,Chicago
2146,41.794353,-87.615975,Chicago
2134,41.773118,-87.615387,Chicago
2133,41.772547,-87.615387,Chicago
2162,41.82259,-87.616833,Chicago
2163,41.824203,-87.616945,Chicago
