,hospital,latitude,longitude,City_x,City_y,City
53,"3484 E 1st St,Los Angeles, CA 90063",34.035885,-118.19254,Los Angeles,Los Angeles,Los Angeles
54,"1061 E Vernon Ave,Los Angeles, CA 90011",34.00407,-118.25692,Los Angeles,Los Angeles,Los Angeles
55,"1014 1/2 N Vermont Ave,Los Angeles, CA 90029",34.092024,-118.291527,Los Angeles,Los Angeles,Los Angeles
56,"1515 N Vermont Ave,Los Angeles, CA 90027",34.098667,-118.29207,Los Angeles,Los Angeles,Los Angeles
57,"4867 W Sunset Blvd,Los Angeles, CA 90027",34.09832,-118.29564,Los Angeles,Los Angeles,Los Angeles
58,"1526 N Edgemont St,Los Angeles, CA 90027",34.099335,-118.295976,Los Angeles,Los Angeles,Los Angeles
59,"4027 W Pico Blvd,Los Angeles, CA 90019",34.047673,-118.323559,Los Angeles,Los Angeles,Los Angeles
60,"1870 N Vermont Ave,Los Angeles, CA 90027",34.10508,-118.29162,Los Angeles,Los Angeles,Los Angeles
61,"4700 W Pico Blvd Ste G-H,Los Angeles, CA 90019",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
62,"1715 N Cahuenga Blvd,Los Angeles, CA 90028",34.1022,-118.32972,Los Angeles,Los Angeles,Los Angeles
63,"10901 South Vermont Avenue Mary B. Henry Building,Los Angeles, CA 90044",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
64,"8522 Beverly Blvd,Los Angeles, CA 90048",34.075877,-118.377815,Los Angeles,Los Angeles,Los Angeles
65,"998 S Robertson Blvd,Los Angeles, CA 90035",34.059691,-118.383416,Los Angeles,Los Angeles,Los Angeles
66,"2741 S Robertson Blvd,Los Angeles, CA 90034",34.036908,-118.38915,Los Angeles,Los Angeles,Los Angeles
67,"1399 Roxbury Dr Ste 100,Los Angeles, CA 90035",34.05409,-118.40253,Los Angeles,Los Angeles,Los Angeles
68,"2080 Century Park E Ste 101,Los Angeles, CA 90067",34.05884,-118.412063,Los Angeles,Los Angeles,Los Angeles
69,"10431 Santa Monica Blvd,Los Angeles, CA 90025",34.057072,-118.425186,Los Angeles,Los Angeles,Los Angeles
70,"11600 Washington Pl Ste 102A,Los Angeles, CA 90066",34.004493,-118.420597,Los Angeles,Los Angeles,Los Angeles
71,"12555 W Jefferson Blvd Ste 300,Los Angeles, CA 90066",33.97954,-118.41361,Los Angeles,Los Angeles,Los Angeles
72,"12555 W Jefferson Blvd Ste 330,Los Angeles, CA 90066",33.97954,-118.41361,Los Angeles,Los Angeles,Los Angeles
73,"5901 W Century Blvd,Los Angeles, CA 90045",33.945721,-118.386851,Los Angeles,Los Angeles,Los Angeles
74,"10850 Wilshire Blvd Ste 1130,Los Angeles, CA 90024",34.059227,-118.441394,Los Angeles,Los Angeles,Los Angeles
75,"200 Medical Plaza Driveway Suites 430 &amp; 220,Los Angeles, CA 90095",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
76,"150 Ucla Medical Plaza,Los Angeles, CA 90095",34.066103,-118.446501,Los Angeles,Los Angeles,Los Angeles
77,"100 Ucla Medical Plaza 460,Los Angeles, CA 90095",34.065214,-118.446457,Los Angeles,Los Angeles,Los Angeles
78,"100 Ucla Medical Plaza,Los Angeles, CA 90095",34.065594,-118.445756,Los Angeles,Los Angeles,Los Angeles
79,"11545 W Olympic Blvd Ste B,Los Angeles, CA 90064",34.036208,-118.444935,Los Angeles,Los Angeles,Los Angeles
80,"11545 W Olympic Blvd,Los Angeles, CA 90064",34.036208,-118.444935,Los Angeles,Los Angeles,Los Angeles
81,"100 Ucla Medical Plz Ste 630,Los Angeles, CA 90024",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
82,"300 Ucla Medical Plz,Los Angeles, CA 90095",34.064288,-118.446143,Los Angeles,Los Angeles,Los Angeles
83,"200 Ucla Medical Plz Ste B270,Los Angeles, CA 90024",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
84,"200 Ucla Medical Plz Ste 214,Los Angeles, CA 90024",34.05513,-118.25703,Los Angeles,Los Angeles,Los Angeles
85,"200 Ucla Medical Plz Ste 365C,Los Angeles, CA 90095",34.065214,-118.446457,Los Angeles,Los Angeles,Los Angeles
86,"200 Ucla Medical Plz,Los Angeles, CA 90095",34.065214,-118.446457,Los Angeles,Los Angeles,Los Angeles
87,"13365 W Washington Blvd,Los Angeles, CA 90066",33.992566,-118.4442,Los Angeles,Los Angeles,Los Angeles
