,Address,Housing Price,City,Longitude,Latitude,SQ Ft
57,"1041 W 78th St, Los Angeles, CA 90044",560000,Los Angeles,33.969665,-118.29329,1204.0
58,"3710 Raymond Ave, Los Angeles, CA 90007",869000,Los Angeles,34.020348,-118.297537,1236.0
59,"3825 Hammel St, Los Angeles, CA 90063",749000,Los Angeles,34.042624,-118.183812,1789.0
60,"2939 Leeward Ave, Apt 416, Los Angeles, CA 90005",819000,Los Angeles,34.05904,-118.287792,1256.0
61,"8909 Crocker St, Los Angeles, CA 90003",635000,Los Angeles,33.955242,-118.268475,968.0
62,"1150 S Augusta Ave, East, Los Angeles, CA 90023",680000,Los Angeles,34.019661,-118.17661,1008.0
63,"5847 S Wilton Pl, Los Angeles, CA 90047",789000,Los Angeles,33.987735,-118.315091,1880.0
64,"460 S Spring St, Apt 204, Los Angeles, CA 90013",408000,Los Angeles,34.047476,-118.248992,460.0
65,"1522 2nd Ave, Los Angeles, CA 90019",1650000,Los Angeles,34.044611,-118.318557,3452.0
66,"1528 2nd Ave, Los Angeles, CA 90019",1349999,Los Angeles,34.044474,-118.318557,4588.0
67,"641 N Hobart Blvd, Los Angeles, CA 90004",7750000,Los Angeles,34.082824,-118.306087,16035.0
68,"2927 8th Ave, Los Angeles, CA 90018",1299999,Los Angeles,34.028366,-118.326309,2200.0
69,"954 Dexter St, Los Angeles, CA 90042",1895000,Los Angeles,34.115624,-118.208307,2520.0
70,"317 W 76th St, Los Angeles, CA 90003",1000000,Los Angeles,33.971075,-118.279003,3820.0
71,"154 E 47th St, Los Angeles, CA 90011",1050000,Los Angeles,34.000799,-118.272747,2814.0
72,"200 W Slauson Ave, Los Angeles, CA 90003",1200000,Los Angeles,33.988929,-118.276295,3953.0
73,"626 W 78th St, Los Angeles, CA 90044",1350000,Los Angeles,33.968534,-118.285059,6158.0
74,"11645 Montana Ave, Apt 220, Los Angeles, CA 90049",789900,Los Angeles,34.056388,-118.465985,1247.0
75,"1975 Exposition Blvd, Los Angeles, CA 90018",749000,Los Angeles,34.018865,-118.31615,1308.0
76,"1348 E Vernon Ave, Los Angeles, CA 90011",2500000,Los Angeles,34.003622,-118.250955,5927.0
77,"3808 Franklin Ave, Los Angeles, CA 90027",2999999,Los Angeles,34.101489,-118.275969,3219.0
78,"657 W 66th St, Los Angeles, CA 90044",399000,Los Angeles,33.979579,-118.285207,560.0
79,"353 S Hoover St, Los Angeles, CA 90020",1999999,Los Angeles,34.067527,-118.284638,2875.0
80,"534 W 91st St, Los Angeles, CA 90044",719000,Los Angeles,33.953914,-118.283843,1608.0
81,"1329 E 100th St, Los Angeles, CA 90002",749999,Los Angeles,33.946244,-118.25033,1993.0
82,"1147 N Hudson Ave, Los Angeles, CA 90038",1399999,Los Angeles,34.091573,-118.332519,1044.0
83,"4225 Van Buren Pl, Los Angeles, CA 90037",925000,Los Angeles,34.006523,-118.297264,1645.0
84,"866 E 52nd St, Unit 866, Los Angeles, CA 90011",660000,Los Angeles,33.995575,-118.2604,1568.0
85,"1368 E 49th St, Los Angeles, CA 90011",569900,Los Angeles,33.998162,-118.250495,1702.0
86,"1875 W Adams Blvd, Los Angeles, CA 90018",3998800,Los Angeles,34.033014,-118.305419,9702.0
87,"7570 Shore Cliff Dr, Los Angeles, CA 90045",3099000,Los Angeles,33.964989,-118.430805,4105.0
88,"130 S Hewitt St, Apt 20, Los Angeles, CA 90012",889500,Los Angeles,34.047672,-118.235827,1260.0
89,"8640 Holmes Ave, Los Angeles, CA 90002",739000,Los Angeles,33.958669,-118.240556,2236.0
90,"10580 Wilshire Blvd, Apt 4S, Los Angeles, CA 90024",1313000,Los Angeles,34.061539,-118.43277,2560.0
91,"10501 Wilshire Blvd, Unit 2003, Los Angeles, CA 90024",1199000,Los Angeles,34.064156,-118.432778,1180.0
92,"41477 E 152nd St, Lake, Los Angeles, CA 93535",410000,Los Angeles,34.63581,-117.859137,1752.0
93,"10580 Sw Wilshire Blvd, Unit 12SW, Los Angeles, CA 90024",2798000,Los Angeles,34.061537,-118.432779,2757.0
94,"1568 Murray Cir, Los Angeles, CA 90026",1950000,Los Angeles,34.089162,-118.273135,3136.0
95,"3556 Multiview Dr, Los Angeles, CA 90068",4149000,Los Angeles,34.131814,-118.359692,5720.0
96,"2626 Raymond Ave, Los Angeles, CA 90007",1200000,Los Angeles,34.031872,-118.297749,5326.0
97,"820 S Wilton Pl, Unit 201, Los Angeles, CA 90005",898000,Los Angeles,34.057448,-118.31393,1473.0
98,"1232 Hyperion Ave, Los Angeles, CA 90029",1500000,Los Angeles,34.09458,-118.277595,1470.0
99,"312 W 5th St, Apt 907, Los Angeles, CA 90013",373000,Los Angeles,34.048033,-118.251248,860.0
100,"901 S Flower St, Unit 307, Los Angeles, CA 90015",1050000,Los Angeles,34.045533,-118.262425,1689.0
101,"2911 S Wellington Rd, Los Angeles, CA 90016",925000,Los Angeles,34.029034,-118.338711,1333.0
102,"8419 Truxton Ave, Los Angeles, CA 90045",1688888,Los Angeles,33.96196,-118.393769,1681.0
103,"1350 E 71st St, Los Angeles, CA 90001",850000,Los Angeles,33.975465,-118.250304,2200.0
104,"8693 Franklin Ave, Los Angeles, CA 90069",5495000,Los Angeles,34.098209,-118.378869,3200.0
105,"3903 W 59th Pl, Los Angeles, CA 90043",949900,Los Angeles,33.9865,-118.342135,1748.0
106,"159 W 94th St, Los Angeles, CA 90003",695000,Los Angeles,33.951272,-118.276149,2216.0
107,"2054 N Las Palmas Ave, Los Angeles, CA 90068",1997000,Los Angeles,34.107709,-118.336116,2603.0
108,"5040 Williams Pl, Los Angeles, CA 90032",535000,Los Angeles,34.067835,-118.174948,601.0
109,"4501 Maplewood Ave, Los Angeles, CA 90004",1295000,Los Angeles,34.080179,-118.302411,3192.0
110,"4300 Don Arellanes Dr, Los Angeles, CA 90008",1849000,Los Angeles,34.008385,-118.349042,2289.0
111,"255 S Coronado St, Los Angeles, CA 90057",988990,Los Angeles,34.066754,-118.277626,1414.0
112,"1568 Blue Jay Way, Los Angeles, CA 90069",15995000,Los Angeles,34.10163,-118.386304,7700.0
113,"5134 W 20th St, Los Angeles, CA 90016",1098000,Los Angeles,34.03968,-118.352313,1055.0
114,"3350 James M Wood Blvd, Apt 7, Los Angeles, CA 90006",1195000,Los Angeles,34.055675,-118.304949,2000.0
115,"458 N Alta Vista Blvd, Los Angeles, CA 90036",1699000,Los Angeles,34.079944,-118.347075,2480.0
116,"4321 Prospect Ave, Los Angeles, CA 90027",2649950,Los Angeles,34.102069,-118.28385,3619.0
117,"1476 E 108th St, Los Angeles, CA 90059",799999,Los Angeles,33.937539,-118.248291,1633.0
118,"4816 Glacier Dr, Los Angeles, CA 90041",925000,Los Angeles,34.133561,-118.191567,1104.0
119,"2366 Lyric Ave, Los Angeles, CA 90027",1545000,Los Angeles,34.103944,-118.274772,2363.0
120,"2057 N Catalina St, Los Angeles, CA 90027",2498888,Los Angeles,34.109211,-118.295394,2644.0
121,"40111 179th St E, Lake, Los Angeles, CA 93591",395000,Los Angeles,34.610452,-117.810892,1424.0
122,"2512 S Centinela Ave, Los Angeles, CA 90064",2950000,Los Angeles,34.02545,-118.450359,2209.0
123,"707 N Ave, 54, Los Angeles, CA 90042",1312000,Los Angeles,34.114605,-118.19941,1388.0
124,"5601 W Olympic Blvd, Unit 303, Los Angeles, CA 90036",859999,Los Angeles,34.057594,-118.351637,1140.0
125,"3412 E 3rd St, Los Angeles, CA 90063",1300000,Los Angeles,34.034454,-118.196096,3024.0
126,"1925 S Rimpau Blvd, Los Angeles, CA 90016",1599900,Los Angeles,34.039067,-118.343999,2880.0
127,"10615 Esther Ave, Los Angeles, CA 90064",2995000,Los Angeles,34.040079,-118.421089,2877.0
128,"7540 W 91st St, Los Angeles, CA 90045",1475000,Los Angeles,33.954936,-118.42826,1721.0
129,"1503 E 109th St, Los Angeles, CA 90059",649999,Los Angeles,33.937117,-118.248094,2389.0
130,"267 S San Pedro St, Unit 619, Los Angeles, CA 90012",589000,Los Angeles,34.048012,-118.242971,1477.0
131,"7100 Alvern St, Apt 201, Los Angeles, CA 90045",729000,Los Angeles,33.974505,-118.377587,1170.0
132,"1119 W 82nd St, Los Angeles, CA 90044",1222000,Los Angeles,33.9646,-118.294849,2968.0
133,"242 E 124th St, Los Angeles, CA 90061",575000,Los Angeles,33.919847,-118.270551,1193.0
134,"2661 S Harcourt Ave, Los Angeles, CA 90016",1130000,Los Angeles,34.031055,-118.34741,1820.0
135,"3928 Degnan Blvd, Los Angeles, CA 90008",1279000,Los Angeles,34.013681,-118.330232,1475.0
136,"4310 7th Ave, Los Angeles, CA 90008",1500000,Los Angeles,34.00522,-118.324517,2243.0
137,"2939 Leeward Ave, Apt 516, Los Angeles, CA 90005",880000,Los Angeles,34.058862,-118.287867,1260.0
138,"889 Francisco St, Unit 2402, Los Angeles, CA 90017",599000,Los Angeles,34.047687,-118.264684,730.0
139,"3600 Mandeville Canyon Rd, Los Angeles, CA 90049",4295000,Los Angeles,34.1146,-118.500537,4943.0
140,"4125 Mckinley Ave, Los Angeles, CA 90011",815000,Los Angeles,34.008433,-118.261454,1376.0
141,"6250 Hollywood Blvd, Unit 8C, Los Angeles, CA 90028",849995,Los Angeles,34.10063,-118.325867,1270.0
142,"133 S St Andrews Pl, Los Angeles, CA 90004",2999800,Los Angeles,34.072019,-118.311643,5980.0
143,"210 Belmont Ave, Los Angeles, CA 90026",1575000,Los Angeles,34.064795,-118.262739,3606.0
144,"146 S Gardner St, Los Angeles, CA 90036",1799000,Los Angeles,34.072151,-118.352902,1635.0
145,"949 Stone Canyon Rd, Los Angeles, CA 90077",4495000,Los Angeles,34.091193,-118.44762,3238.0
146,"219 S Ave, 60, Los Angeles, CA 90042",1299000,Los Angeles,34.110054,-118.187789,1677.0
147,"2320 S Bentley Ave, Apt 203, Los Angeles, CA 90064",649000,Los Angeles,34.038825,-118.435038,1044.0
148,"10110 Empyrean Way, Apt 204, Los Angeles, CA 90067",4250000,Los Angeles,34.053242,-118.40811,2370.0
149,"525 S La Fayette Park Pl, Unit 310, Los Angeles, CA 90057",545000,Los Angeles,34.064039,-118.283213,1046.0
150,"312 W 5th St, Apt M6, Los Angeles, CA 90013",449000,Los Angeles,34.048033,-118.251248,780.0
151,"625 E 79th St, Los Angeles, CA 90001",549000,Los Angeles,33.967701,-118.264104,1838.0
152,"212 E 62nd St, Los Angeles, CA 90003",579000,Los Angeles,33.983085,-118.271215,1996.0
153,"2030 N Commonwealth Ave, Los Angeles, CA 90027",1900000,Los Angeles,34.108631,-118.284916,2940.0
154,"5637 W Jefferson Blvd, Los Angeles, CA 90016",2295000,Los Angeles,34.02671,-118.369932,3788.0
155,"5130 Inadale Ave, Los Angeles, CA 90043",1499000,Los Angeles,33.995817,-118.350089,1821.0
156,"734 E 83rd St, Los Angeles, CA 90001",620000,Los Angeles,33.963514,-118.261716,1112.0
157,"4661 Wilshire Blvd, Unit 205, Los Angeles, CA 90010",1099000,Los Angeles,34.062237,-118.331017,1460.0
158,"1693 E 110th St, Los Angeles, CA 90059",510000,Los Angeles,33.93613,-118.242822,1482.0
159,"1416 Pandora Ave, Los Angeles, CA 90024",2750000,Los Angeles,34.061441,-118.426189,2146.0
160,"676 S Rampart Blvd, Los Angeles, CA 90057",5700000,Los Angeles,34.059783,-118.282716,17680.0
161,"5607 Virginia Ave, Los Angeles, CA 90038",4400000,Los Angeles,34.09208,-118.311252,11303.0
162,"138 E 78th St, Los Angeles, CA 90003",559000,Los Angeles,33.968505,-118.272458,1150.0
163,"840 W Imperial Hwy, Los Angeles, CA 90044",3750000,Los Angeles,33.930663,-118.290751,11172.0
164,"610 N Spaulding Ave, Los Angeles, CA 90036",2495000,Los Angeles,34.082231,-118.357065,3738.0
165,"2001 Roscomare Rd, Los Angeles, CA 90077",4999950,Los Angeles,34.106151,-118.464076,4684.0
166,"1335 S Sycamore Ave, Los Angeles, CA 90019",1559000,Los Angeles,34.048631,-118.348172,3044.0
167,"1107 W 110th St, Los Angeles, CA 90044",545000,Los Angeles,33.935745,-118.294538,726.0
168,"10316 Kimberly St, Los Angeles, CA 90002",650000,Los Angeles,33.942648,-118.240177,1455.0
169,"1425 N Detroit St, Apt 404, Los Angeles, CA 90046",899000,Los Angeles,34.096908,-118.34551,1420.0
170,"6250 Hollywood Blvd, Unit 5C, Los Angeles, CA 90028",725000,Los Angeles,34.10063,-118.325867,1270.0
171,"2067 W 67th St, Los Angeles, CA 90047",629000,Los Angeles,33.9787,-118.315562,863.0
172,"7403 S Harvard Blvd, Los Angeles, CA 90047",799000,Los Angeles,33.97262,-118.30711,1499.0
173,"40936 176th St E, Lake, Los Angeles, CA 93535",399900,Los Angeles,34.625854,-117.81644,1563.0
174,"5705 Monte Vista St, Los Angeles, CA 90042",1550000,Los Angeles,34.111922,-118.194222,3103.0
175,"1175 Carmona Ave, Los Angeles, CA 90019",1200000,Los Angeles,34.053781,-118.355927,1097.0
176,"529 W 74th St, Los Angeles, CA 90044",875000,Los Angeles,33.972964,-118.283728,3461.0
177,"2215 Wellesley Ave, Los Angeles, CA 90064",2999999,Los Angeles,34.030495,-118.454849,2107.0
178,"1575 W 50th St, Los Angeles, CA 90062",640000,Los Angeles,33.998503,-118.305985,1918.0
179,"1806 Mozart St, Los Angeles, CA 90031",728888,Los Angeles,34.068128,-118.21992,1387.0
180,"1640 E 49th St, Los Angeles, CA 90011",875000,Los Angeles,33.998343,-118.244681,3068.0
181,"8278 Sweetzer Ct, Los Angeles, CA 90048",2149000,Los Angeles,34.080555,-118.369851,2069.0
182,"1326 S Woods Ave, East, Los Angeles, CA 90022",888000,Los Angeles,34.013453,-118.160106,1693.0
183,"12318 19th Helena Dr, Los Angeles, CA 90049",8800000,Los Angeles,34.058679,-118.480072,7401.0
184,"1135 Rexford Dr, Apt 404, Los Angeles, CA 90035",1075000,Los Angeles,34.055981,-118.394155,1408.0
185,"130 N Westmoreland Ave, Los Angeles, CA 90004",5360000,Los Angeles,34.074497,-118.287567,18013.0
186,"345 N Detroit St, Los Angeles, CA 90036",2500000,Los Angeles,34.077537,-118.345456,4230.0
187,"1226 S Bedford St, Unit 502, Los Angeles, CA 90035",1550000,Los Angeles,34.054852,-118.380398,1595.0
188,"8414 Kirkwood Dr, Los Angeles, CA 90046",1199000,Los Angeles,34.103519,-118.373772,1204.0
189,"1952 Fox Hills Dr, Los Angeles, CA 90025",2495000,Los Angeles,34.056144,-118.41924,5226.0
190,"512 N Gower St, Los Angeles, CA 90004",2599000,Los Angeles,34.079379,-118.322412,2000.0
191,"877 Francisco St, Apt 605, Los Angeles, CA 90017",510000,Los Angeles,34.04839,-118.26387,518.0
192,"2741 S Rimpau Blvd, Los Angeles, CA 90016",1299000,Los Angeles,34.030017,-118.349452,3578.0
193,"10795 Wilshire Blvd, Apt 405, Los Angeles, CA 90024",1588000,Los Angeles,34.06033,-118.439587,2001.0
194,"4519 Lexington Ave, Los Angeles, CA 90029",850000,Los Angeles,34.093682,-118.287286,972.0
195,"5338 S Chariton Ave, Los Angeles, CA 90056",2300000,Los Angeles,33.993279,-118.369252,3044.0
196,"2629 S Victoria Ave, Los Angeles, CA 90016",1865000,Los Angeles,34.03164,-118.336511,4837.0
197,"1025 W 54th St, Los Angeles, CA 90037",1095000,Los Angeles,33.993474,-118.292519,1600.0
