,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
3520,"3618 Connecticut Ave NW, Apt 204, Washington, DC 20008",0.006200263003754032,Washington,38.937512,-77.060112,463.0,647.840172786177,0.13596916377214396,16389.268424720114,16392.218591507295,16373.74031473075,16386.73872912524,16317.612204386625,16390.537648872196,16390.653031000904,16393.018362679755,12187.606800552665,16389.268424720114
3521,"1220 Irving St NW, Washington, DC 20010",0.056845218404145983,Washington,38.928369,-77.028578,3479.0,790.4570278815752,0.1737868009334063,16386.393629063463,16389.343838111654,16370.863874844523,16383.863861029744,16314.735113101196,16387.662738598647,16387.778118651328,16390.14359791924,12184.330074516281,16386.393629063463
3522,"4821 Blagden Ave NW, Washington, DC 20011",0.03100648276589781,Washington,38.949413,-77.037363,2416.0,620.8609271523179,0.12881509126379023,16388.503743554902,16391.453975631175,16372.973090971172,16385.973936033133,16316.843972420995,16389.772790585488,16389.888169505495,16392.253729239994,12185.644991418356,16388.503743554902
3523,"1320 K St SE, Washington, DC 20003",0.03100648276589781,Washington,38.878708,-76.987455,2552.0,587.7742946708464,0.12004152616704664,16379.973643256857,16382.923836386797,16364.444512616445,16377.44390252351,16308.316000104081,16381.242796001268,16381.358176837048,16383.723600476362,12179.237588738728,16379.973643256857
3524,"222 Upshur St NW, Washington, DC 20011",0.025838735638248175,Washington,38.941855,-77.014777,2344.0,533.2764505119454,0.10559036122519089,16386.373391760502,16389.32365218858,16370.84163535462,16383.8435356198,16314.712079994773,16387.64236181783,16387.757739342855,16390.123398159158,12183.276093011167,16386.373391760502
3525,"1421 Carrollsburg Pl SW, Washington, DC 20024",0.022738087361658395,Washington,38.872333,-77.010123,1350.0,814.8148148148148,0.18024574260391515,16381.123888866287,16384.074027204657,16365.596890766648,16378.594242038365,16309.469224202443,16382.393190162114,16382.508573688105,16384.873806018502,12181.312119100603,16381.123888866287
3526,"1301 Delaware Ave SW, Apt N210, Washington, DC 20024",0.0030903127823344815,Washington,38.874189,-77.015446,590.0,253.38983050847457,0.031372972021767746,16381.631317855241,16384.581449642068,16366.10457443886,16379.10168225251,16309.977008845948,16382.900636902585,16383.016020749934,16385.381230214876,12181.8720027783,16381.631317855241
3527,"23 Logan Cir NW, Washington, DC 20005",0.0723484597870949,Washington,38.909209,-77.028732,4760.0,735.2941176470588,0.1591592807667837,16385.048398305084,16387.99857099505,16369.520060823825,16382.51869260009,16313.391861466442,16386.317606466982,16386.432988306304,16388.798340580757,12183.928923684245,16385.048398305084
3528,"1150 K St NW, Apt 710, Washington, DC 20005",0.012402572435370613,Washington,38.901821,-77.027638,1050.0,571.427619047619,0.11570688670876839,16384.44823012599,16387.39839096579,16368.92035433969,16381.918544732147,16312.792338379855,16385.71747041978,16385.83285284104,16388.198163736062,12183.661731181248,16384.44823012599
3529,"2700 Virginia Ave NW, Unit 305, Washington, DC 20037",0.008785170117004379,Washington,38.899879,-77.056259,1045.0,406.69856459330146,0.07202576916411277,16386.332947071078,16389.28305022621,16370.807315042885,16383.803360514179,16314.680189456567,16387.602343663224,16387.717728914016,16390.08283848206,12186.413448026953,16386.332947071078
