,shopping,latitude,longitude,City
69,"7311 N Figueroa St,Los Angeles, CA 90041",34.136283,-118.188429,Los Angeles
70,"3330 W Florence Ave,Los Angeles, CA 90043",33.97436,-118.33051,Los Angeles
71,"3450 Overland Ave,Los Angeles, CA 90034",34.025125,-118.411677,Los Angeles
72,"8645 S Sepulveda Blvd,Los Angeles, CA 90045",33.95857,-118.39645,Los Angeles
73,"6571 W 80th St,Los Angeles, CA 90045",33.96914,-118.40562,Los Angeles
74,"333 S Alameda St,Los Angeles, CA 90013",34.04448,-118.23824,Los Angeles
75,"3723 W 3rd St,Los Angeles, CA 90020",34.06917,-118.29732,Los Angeles
76,"4312 Wall St,Los Angeles, CA 90011",34.00531,-118.27148,Los Angeles
77,"4757 Melrose Ave,Los Angeles, CA 90029",34.083645,-118.304455,Los Angeles
78,"3566 S Western Ave,Los Angeles, CA 90018",34.023246,-118.308729,Los Angeles
79,"5244 Santa Monica Blvd,Los Angeles, CA 90029",34.090659,-118.30491,Los Angeles
80,"904 N Western Ave,Los Angeles, CA 90029",34.086438,-118.308957,Los Angeles
81,"5315 Santa Monica Blvd,Los Angeles, CA 90029",34.090932,-118.305218,Los Angeles
82,"672 S Cloverdale Ave,Los Angeles, CA 90036",34.05513,-118.25703,Los Angeles
83,"1815 N Cahuenga Blvd,Los Angeles, CA 90028",34.10446,-118.33026,Los Angeles
84,"7825 Beverly Blvd,Los Angeles, CA 90036",34.076273,-118.360717,Los Angeles
85,"8500 Burton Way,Los Angeles, CA 90048",34.071018,-118.376669,Los Angeles
86,"10425 S Normandie Ave,Los Angeles, CA 90044",33.941487,-118.300522,Los Angeles
87,"11507 S Western Ave,Los Angeles, CA 90047",33.929643,-118.30971,Los Angeles
88,"625 E El Segundo Blvd,Los Angeles, CA 90059",33.916886,-118.264361,Los Angeles
89,"620 E El Segundo Blvd,Los Angeles, CA 90059",33.915698,-118.26464,Los Angeles
90,"5744 W Manchester Ave,Los Angeles, CA 90045",33.95971,-118.38187,Los Angeles
91,"10840 National Blvd,Los Angeles, CA 90064",34.03013,-118.42141,Los Angeles
92,"420 S Alvarado St,Los Angeles, CA 90057",34.060763,-118.273879,Los Angeles
93,"7060 W Sunset Blvd,Los Angeles, CA 90028",34.0978,-118.34355,Los Angeles
94,"3033 S Sepulveda Blvd,Los Angeles, CA 90034",34.026568,-118.428257,Los Angeles
95,"1241 W Washington Blvd,Los Angeles, CA 90007",34.04006,-118.28386,Los Angeles
96,"2600 S Vermont Ave,Los Angeles, CA 90007",34.03252,-118.29135,Los Angeles
97,"670 S Western Ave,Los Angeles, CA 90005",34.06027,-118.30891,Los Angeles
98,"5100 N Figueroa St,Los Angeles, CA 90042",34.10543,-118.200843,Los Angeles
