,Address,Latitude,Longitude,City
70,"3924 W 3rd St,Los Angeles, CA 90020",34.068873,-118.299945,Los Angeles
71,"5250 York Blvd,Los Angeles, CA 90042",34.120138,-118.201019,Los Angeles
72,"3000 N Broadway,Los Angeles, CA 90031",34.07356,-118.210097,Los Angeles
73,"1501 E 23rd St,Los Angeles, CA 90011",34.01809,-118.24853,Los Angeles
74,"10530 S Broadway,Los Angeles, CA 90003",33.94029,-118.27795,Los Angeles
75,"4834 W Slauson Ave,Los Angeles, CA 90056",33.98764,-118.361553,Los Angeles
76,"3901 Crenshaw Blvd,Los Angeles, CA 90008",34.013924,-118.335813,Los Angeles
77,"11666 National Blvd,Los Angeles, CA 90064",34.022757,-118.438151,Los Angeles
78,"700 N Broadway,Los Angeles, CA 90012",34.06058,-118.239011,Los Angeles
79,"645 W 9th St,Los Angeles, CA 90015",34.04582,-118.261142,Los Angeles
80,"1211 Wholesale St,Los Angeles, CA 90021",34.036675,-118.23805,Los Angeles
81,"2000 S Central Ave,Los Angeles, CA 90011",34.02249,-118.25156,Los Angeles
82,"1342 N Alvarado St,Los Angeles, CA 90026",34.080141,-118.261674,Los Angeles
83,"3410 W 3rd St,Los Angeles, CA 90020",34.06884,-118.29027,Los Angeles
84,"2520 Glendale Blvd,Los Angeles, CA 90039",34.102993,-118.259015,Los Angeles
85,"133 W Avenue 45,Los Angeles, CA 90065",34.09657,-118.20819,Los Angeles
86,"5318 S Main St,Los Angeles, CA 90037",33.993746,-118.273756,Los Angeles
87,"4040 W Washington Blvd,Los Angeles, CA 90018",34.03968,-118.32735,Los Angeles
88,"5127 York Blvd,Los Angeles, CA 90042",34.121001,-118.203701,Los Angeles
89,"3480 S La Brea Ave,Los Angeles, CA 90016",34.0227,-118.35544,Los Angeles
90,"7257 W Sunset Blvd,Los Angeles, CA 90046",34.09816,-118.3483,Los Angeles
91,"9850 Laurel St,Los Angeles, CA 90002",34.05513,-118.25703,Los Angeles
92,"8811 S Western Ave,Los Angeles, CA 90047",33.95778,-118.309262,Los Angeles
93,"1651 E 103rd St,Los Angeles, CA 90002",33.94479,-118.2439,Los Angeles
94,"5245 W Centinela Ave,Los Angeles, CA 90045",33.97884,-118.37165,Los Angeles
95,"6855 S La Cienega Blvd,Los Angeles, CA 90045",33.975511,-118.370389,Los Angeles
96,"11533 S Western Ave,Los Angeles, CA 90047",33.928795,-118.309352,Los Angeles
97,"8824 S Sepulveda Blvd,Los Angeles, CA 90045",34.05513,-118.25703,Los Angeles
98,"4030 S Centinela Ave,Los Angeles, CA 90066",33.998875,-118.429599,Los Angeles
99,"10861 Weyburn Ave,Los Angeles, CA 90024",34.062474,-118.443439,Los Angeles
100,"12611 W Washington Blvd,Los Angeles, CA 90066",33.996939,-118.432629,Los Angeles
101,"11727 W Olympic Blvd,Los Angeles, CA 90064",34.03405,-118.44862,Los Angeles
102,"138 Astronaut E S Onizuka St,Los Angeles, CA 90012",34.049949,-118.241747,Los Angeles
103,"317 S Broadway,Los Angeles, CA 90013",34.050659,-118.248526,Los Angeles
104,"124 Japanese Village Plaza Mall,Los Angeles, CA 90012",34.048721,-118.240132,Los Angeles
105,"206 Boyd St,Los Angeles, CA 90013",34.047565,-118.245159,Los Angeles
106,"326 Boyd St,Los Angeles, CA 90013",34.04672,-118.243416,Los Angeles
107,"369 Wall St,Los Angeles, CA 90013",34.05513,-118.25703,Los Angeles
108,"800 N Alameda St,Los Angeles, CA 90012",34.05494,-118.23752,Los Angeles
109,"633 N Spring St,Los Angeles, CA 90012",34.058416,-118.238748,Los Angeles
110,"711 N Main St,Los Angeles, CA 90012",34.058624,-118.237719,Los Angeles
111,"212 W 6th St,Los Angeles, CA 90014",34.046153,-118.251451,Los Angeles
112,"608 S Hill St,Los Angeles, CA 90014",34.04696,-118.25321,Los Angeles
113,"711 N Broadway Ste 117,Los Angeles, CA 90012",34.060767,-118.239285,Los Angeles
124,"5755 E La Palma Ave,Anaheim, CA 92807",33.860869,-117.787945,Anaheim
125,"1616 W Katella Ave,Anaheim, CA 92802",33.802068,-117.937721,Anaheim
126,"130 W Lincoln Ave,Anaheim, CA 92805",33.835123,-117.914735,Anaheim
127,"1217 S Brookhurst St,Anaheim, CA 92804",33.816867,-117.959393,Anaheim
128,"2424 W Ball Rd Ste R,Anaheim, CA 92804",33.82415,-117.897707,Anaheim
129,"5759 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.853153,-117.78834,Anaheim
130,"2809 E Lincoln Ave,Anaheim, CA 92806",33.837969,-117.870824,Anaheim
131,"3430 W Lincoln Ave,Anaheim, CA 92801",33.831293,-118.009781,Anaheim
132,"5745 E Santa Ana Canyon Rd,Anaheim, CA 92807",33.852092,-117.788409,Anaheim
133,"10500 Magnolia Ave,Anaheim, CA 92804",33.82415,-117.897707,Anaheim
134,"1086 N State College Blvd,Anaheim, CA 92806",33.848726,-117.88821,Anaheim
135,"121 N Beach Blvd,Anaheim, CA 92801",33.833358,-117.994742,Anaheim
136,"722 N Anaheim Blvd,Anaheim, CA 92805",33.84293,-117.916137,Anaheim
137,"2030 E Lincoln Ave,Anaheim, CA 92806",33.837563,-117.888559,Anaheim
138,"275 S Euclid St,Anaheim, CA 92802",33.829184,-117.942719,Anaheim
139,"651 N Euclid St,Anaheim, CA 92801",33.841125,-117.943627,Anaheim
140,"6509 E serrano ave,Anaheim, CA 92807",33.831713,-117.759743,Anaheim
141,"101 E Lincoln Ave,Anaheim, CA 92805",33.837197,-117.913845,Anaheim
142,"327 S Lemon St,Anaheim, CA 92805",33.831855,-117.915069,Anaheim
143,"440 S Anaheim Blvd,Anaheim, CA 92805",33.831689,-117.911605,Anaheim
144,"124 S Harbor Blvd,Anaheim, CA 92805",33.833658,-117.919028,Anaheim
145,"870 W Lincoln Ave,Anaheim, CA 92805",33.832805,-117.923864,Anaheim
146,"500 S Citron St,Anaheim, CA 92805",33.828879,-117.921604,Anaheim
147,"508 N East St,Anaheim, CA 92805",33.842998,-117.903446,Anaheim
148,"500 N East St,Anaheim, CA 92805",33.842802,-117.903444,Anaheim
149,"910 S Anaheim Blvd,Anaheim, CA 92805",33.82415,-117.897707,Anaheim
