,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
2239,0.01625528864270522,Dallas,32.992942,-96.839132,3437.0,179.22606924643586,0.07270935918499324,18336.383338224256,18332.252796048833,18326.89403613013,18327.886827645947,18336.808816798817,18329.266745708006,18329.412394677165,18321.454330941247,18327.31892618932,18320.742508859752
2240,0.010660936057878097,Dallas,33.011292,-96.803838,1592.0,253.76884422110552,0.11398167038026707,18335.189228580857,18331.05649335129,18325.69664364276,18326.688944694844,18335.620591255098,18328.06997078894,18328.21566451726,18320.25775514081,18326.119911955233,18319.54561559883
2241,0.013167839338814779,Dallas,33.008257,-96.838819,2374.0,210.1937657961247,0.08985533221100252,18337.44522686774,18333.314046396503,18327.95496910102,18328.94761775741,18337.87241565736,18330.327858543125,18330.47352054664,18322.515501722948,18328.379386684726,18321.803587195496
2242,0.01714985728716578,Dallas,33.002814,-96.793689,2960.0,219.5608108108108,0.09504161078672811,18333.872239238885,18329.7394350445,18324.37955122673,18325.371836959952,18334.303789068465,18326.75289768963,18326.89859281929,18318.94068828283,18324.80276897004,18318.228538800897
2243,0.02071493763721363,Dallas,33.00541,-96.787671,4085.0,192.16646266829866,0.0798741037826807,18333.6309887347,18329.497832324545,18324.13777350098,18325.129980459224,18334.063483707316,18326.51121913945,18326.65692145717,18318.699041745596,18324.56073078547,18317.986841280017
2244,0.017416380688612735,Dallas,32.993761,-96.841599,3541.0,186.3880259813612,0.07667474023273893,18336.61558260104,18332.48510787127,18327.12638144613,18328.119188028275,18337.040879899418,18329.499072046117,18329.64471963964,18321.686651165153,18327.551321312465,18320.97483884039
2245,0.015437246519452195,Dallas,33.004353,-96.840934,3099.0,188.7705711519845,0.07799389082449214,18337.31829878695,18333.187364254205,18327.82840920904,18328.821112887304,18337.744828152227,18330.20122937184,18330.346886354535,18322.388850226773,18328.253008746033,18321.676971309633
2246,0.01939551485777327,Dallas,32.991969,-96.799649,2612.0,281.3935681470138,0.12927673020251063,18333.525468929027,18329.39335147216,18324.033808986413,18325.026248373837,18333.955177335207,18326.40696201069,18326.552643121217,18318.594690195634,18324.457534827856,18317.882640147665
2247,0.010542188007728465,Dallas,33.008623,-96.800255,1905.0,209.71128608923885,0.08958819629320547,18334.747220869893,18330.614448060176,18325.25457973064,18326.24687241237,18335.178685073482,18327.62791742506,18327.773611918317,18319.815705183508,18325.67782039398,18319.103560215775
2248,0.01583043450772542,Dallas,32.99265,-96.803939,2596.0,231.08628659476116,0.10142295389329253,18333.876691865265,18329.7447220929,18324.38525296028,18325.37772535505,18334.306003572256,18326.75836441878,18326.90404251647,18318.94607919584,18324.809087923633,18318.23405051708
2249,0.016756669298892555,Dallas,33.009185,-96.806777,2447.0,259.50143032284427,0.11715564770570286,18335.24764904637,18331.115120083603,18325.755372875476,18326.747720065894,18335.678458363578,18328.12864193439,18328.274331452754,18320.316407542192,18326.17879374523,18319.604297860435
2250,0.02572874419908699,Dallas,32.989954,-96.78411,3495.0,278.9699570815451,0.1279348425394296,18332.285293989968,18328.15262311002,18322.79280574189,18323.78512143017,18332.71648885348,18325.166114531043,18325.31180693192,18317.353892975494,18323.21612263545,18316.641762847594
2251,0.020187168525437487,Dallas,33.006337,-96.817,3099.0,246.8538238141336,0.11015301127473745,18335.768108206466,18331.636113723023,18326.276632074278,18327.269098784545,18336.1974830726,18328.649750644843,18328.79542925603,18320.837467704896,18326.700448120235,18320.125435384824
2252,0.028895358869743853,Dallas,32.997344,-96.787871,4793.0,228.45816816190276,0.09996783605181392,18333.07408639583,18328.941267571252,18323.581376582053,18324.573659108515,18333.50567678472,18325.95472710099,18326.100422525436,18318.142519007717,18324.004583772872,18317.430367434612
2253,0.00905124026696086,Dallas,32.995166,-96.839662,1327.0,258.4777694046722,0.11658887444045221,18336.578190013908,18332.447578676958,18327.088784358893,18328.081560389128,18337.00385376261,18329.461513432314,18329.607163814184,18321.64910494445,18327.513623197414,18320.937272843406
2254,0.003034672392712825,Dallas,32.988318,-96.77653,591.0,194.58544839255498,0.08121343051987766,18331.6341150914,18327.50120089909,18322.141262694986,18323.133524006076,18332.06596365975,18324.514639956553,18324.660337320667,18316.7024405025,18322.564399827465,18315.990275171134
2255,0.0028499532035911744,Dallas,32.988318,-96.77653,585.0,184.6153846153846,0.0756932768230515,18331.6341150914,18327.50120089909,18322.141262694986,18323.133524006076,18332.06596365975,18324.514639956553,18324.660337320667,18316.7024405025,18322.564399827465,18315.990275171134
2256,0.03958265699475517,Dallas,32.994565,-96.842276,6470.0,231.83910355486861,0.10183976821045732,18336.72031358096,18332.589833700396,18327.231104702143,18328.22391012353,18337.14562452127,18329.603796761327,18329.749444460496,18321.791376349778,18327.656040723363,18321.07956327577
2257,0.02361766775198242,Dallas,32.991426,-96.783765,4326.0,206.88858067498845,0.08802534092178799,18332.36513371327,18328.232388598386,18322.87253432823,18323.86483340297,18332.796527562743,18325.24586403092,18325.391557947434,18317.433649223778,18323.295796282524,18316.721508345854
2258,0.015819879125489898,Dallas,32.991276,-96.797137,2699.0,222.11930344572065,0.09645817871372972,18333.298983633256,18329.166791715477,18323.807212252268,18324.799635001702,18333.728892133156,18326.18038622949,18326.32606885881,18318.36812117414,18324.230883092067,18317.656060353722
