StationId,Latitude,Longitude,City
80,41.95378281,-87.65493516,Chicago
1380,41.9835121,-87.65884605,Chicago
100,42.00836969,-87.66591486,Chicago
1430,41.73537904,-87.62475881,Chicago
520,42.05416811,-87.68356611,Chicago
510,41.79518449,-87.61832985,Chicago
1090,41.88075241,-87.62770221,Chicago
560,41.87816061,-87.62760185,Chicago
33.768071,-118.192921,80101,Los Angeles
33.768071,-118.192921,80101S,Los Angeles
33.76805,-118.1935,80101A,Los Angeles
33.76804,-118.1925,80101B,Los Angeles
33.772258,-118.1937,80102,Los Angeles
33.772258,-118.1937,80102S,Los Angeles
33.77186,-118.19373,80102A,Los Angeles
33.77282,-118.19373,80102B,Los Angeles
33.78183,-118.189384,80105,Los Angeles
33.78183,-118.189384,80105S,Los Angeles
33.78135,-118.18939,80105A,Los Angeles
33.78245,-118.18937,80105B,Los Angeles
33.78909,-118.189382,80106,Los Angeles
33.78909,-118.189382,80106S,Los Angeles
33.78971,-118.18937,80106A,Los Angeles
33.807079,-118.189834,80107,Los Angeles
33.807079,-118.189834,80107S,Los Angeles
33.8065,-118.18957,80107A,Los Angeles
33.819865,-118.19609,80108,Los Angeles
33.819865,-118.19609,80108S,Los Angeles
33.82027,-118.19636,80108A,Los Angeles
33.81918,-118.19563,80108B,Los Angeles
33.848222,-118.211017,80109,Los Angeles
33.848222,-118.211017,80109S,Los Angeles
33.84773,-118.2108,80109A,Los Angeles
33.876082,-118.222503,80110,Los Angeles
33.876082,-118.222503,80110S,Los Angeles
33.8766,-118.22307,80110A,Los Angeles
33.89749,-118.224249,80111,Los Angeles
33.89749,-118.224249,80111S,Los Angeles
33.89812,-118.22416,80111A,Los Angeles
33.928048,-118.237555,80112,Los Angeles
33.928048,-118.237555,80112S,Los Angeles
33.92854,-118.23779,80112A,Los Angeles
33.94222,-118.243159,80113,Los Angeles
33.94222,-118.243159,80113S,Los Angeles
33.94304,-118.24315,80113A,Los Angeles
33.959611,-118.243205,80114,Los Angeles
33.959611,-118.243205,80114S,Los Angeles
33.95971,-118.24318,80114A,Los Angeles
33.95948,-118.24318,80114B,Los Angeles
33.97374,-118.243271,80115,Los Angeles
33.97374,-118.243271,80115S,Los Angeles
33.97461,-118.24326,80115A,Los Angeles
33.98876,-118.243398,80116,Los Angeles
33.98876,-118.243398,80116S,Los Angeles
33.98909,-118.24345,80116A,Los Angeles
33.98835,-118.24334,80116B,Los Angeles
34.00292,-118.243303,80117,Los Angeles
34.00292,-118.243303,80117S,Los Angeles
34.00378,-118.24329,80117A,Los Angeles
34.01965,-118.243084,80118,Los Angeles
34.01965,-118.243084,80118S,Los Angeles
34.02047,-118.24309,80118A,Los Angeles
34.026807,-118.255505,80119,Los Angeles
34.026807,-118.255505,80119S,Los Angeles
