,Address,Housing Price,City,Longitude,Latitude,SQ Ft,Housing Price/SQ Ft,Norm Price,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
1497,"603 W 123rd St, Chicago, IL 60628",0.005982465198805214,Chicago,41.670322,-87.637132,1200.0,103.33333333333333,0.08465842918981166,17997.701624686164,18286.046094088735,18291.14252432644,18289.514585486486,18232.085926048447,18280.50640400366,18210.560678930065,18283.853505395426,18247.84970550711,18278.23283710485
1498,"2614 N Greenview Ave, Chicago, IL 60614",0.12785107078091787,Chicago,41.92932,-87.666222,6000.0,441.6666666666667,0.44083793438217994,18017.817148799164,18306.419953049528,18311.523229097947,18309.883693281394,18252.439315213305,18300.87740252377,18231.152627103154,18304.22448008247,18268.33846576664,18298.617766834603
1499,"6334 N Melvina Ave, Chicago, IL 60646",0.022670648362246533,Chicago,41.996107,-87.783221,3200.0,146.84375,0.1304639031180297,18030.86521461583,18319.413705458093,18324.51548330432,18322.878484134973,18265.437526389233,18313.87177979248,18244.097088333845,18317.218862784033,18281.306650365572,18311.609093783307
1500,"201 N Westshore Dr, Apt 2508, Chicago, IL 60601",0.027258813204233432,Chicago,41.886192,-87.615938,1295.0,436.2934362934363,0.43518128058231254,18011.205041122885,18299.815052457176,18304.918543910535,18303.278643858117,18245.83377867252,18294.272412350845,18224.555234389547,18297.619489120843,18261.73735392952,18292.013215434603
1501,"5101 S Monitor Ave, Chicago, IL 60638",0.015583356929145838,Chicago,41.799815,-87.768261,1300.0,248.46153846153845,0.23744175616130114,18016.129872747577,18304.47488246745,18309.571264372855,18307.94340545294,18250.51483938631,18298.935211609707,18228.98628067853,18302.282313150336,18266.277242608896,18296.66154572372
1502,"4337 N Kedvale Ave, Apt 1E, Chicago, IL 60641",0.007695187090398642,Chicago,41.960283,-87.730563,1000.0,159.5,0.14378773620943142,18024.59116434797,18313.15763685692,18318.259917338393,18316.62206737024,18259.179963740764,18307.615501640557,18237.857723318033,18310.962582824694,18275.059203894543,18305.353839005104
1503,"5254 W Berenice Ave, Chicago, IL 60641",0.024557054727353658,Chicago,41.950793,-87.759241,1700.0,299.4117647058824,0.29107946957947745,18025.989085694117,18314.513290517694,18319.6144348499,18317.978509302797,18260.53900822788,18308.97162965737,18239.176753924057,18312.318714914047,18276.395671577542,18306.707654341404
1504,"11601 S Hale Ave, Chicago, IL 60643",0.01205659720307599,Chicago,41.682619,-87.672241,1994.0,125.32597793380141,0.10781112654449047,18001.079209092622,18289.398698259694,18294.494448504953,18292.867660726988,18235.44055946252,18283.859292165445,18213.891153358738,18287.20639577664,18251.190774319763,18281.584341834106
1505,"9158 S Drexel Ave, Chicago, IL 60619",0.0031311450919553094,Chicago,41.727749,-87.601277,949.0,68.38777660695469,0.04786958848989034,17999.12236736505,18287.57092547275,18292.670136505414,18291.03748829868,18233.602445939967,18282.03007349514,18212.174675440117,18285.377165530106,18249.421358614145,18279.762164550466
1506,"421 E 45th St, Apt 3W, Chicago, IL 60653",0.013750020819834563,Chicago,41.812772,-87.615435,1750.0,162.85714285714286,0.14732195930810305,18006.05697437479,18294.585261233955,18299.68658260459,18298.05035925241,18240.610471322703,18289.043527487785,18219.256179012253,18292.390612126128,18256.4710989941,18286.779913235347
