,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
12,0.2778922106549114,286.88524590163934,1801389.7089597431,1830226.8335055225,1830736.542666241,1830573.6366200454,1824830.6173003358,1829672.836775713,1822680.271654953,1830007.5466954603,1826408.270471452,18294.45614579725
13,0.4140628056234153,416.2330905306972,1802895.7323322236,1831751.4238473622,1832261.6248297123,1832097.885636618,1826353.73688078,1831197.221604213,1824220.52427829,1831531.929820071,1827941.113922566,18309.71000230013
14,0.0572463133479202,77.29468599033817,1799866.1527963693,1828701.741422903,1829211.4146715757,1829048.5695967295,1823305.6341700384,1828147.7597792079,1821154.161754113,1828482.469818761,1824882.6094874938,18279.204645756712
15,0.3317327851818534,338.0281690140845,1801638.0096347784,1830471.9291233658,1830981.551667794,1830818.792266768,1825075.9715601823,1829917.968574588,1822922.5644270792,1830252.6787799369,1826651.9009629264,18296.9057015545
16,0.2819057345054157,290.69767441860466,1801642.0163009902,1830504.0564241444,1831014.431609965,1830850.3974335243,1825105.8507769795,1829949.781515111,1822978.8651196333,1830284.4890956199,1826696.713292844,18297.23914820539
17,0.2899042770654408,298.29545454545456,1803057.8376463233,1831909.192498292,1832419.2768495923,1832255.7352014882,1826511.8536178982,1831355.0389509487,1824374.5318975223,1831689.7475829776,1828096.912674792,18311.28580175704
18,0.2054319395711319,218.05555555555557,1800968.83498408,1829823.0595396878,1830333.2278039602,1830169.544234511,1824425.472291567,1829268.871059671,1822291.2796648587,1829603.5793942062,1826012.243708557,18290.42583156584
19,0.232069156282875,243.35812964930923,1801121.4432705122,1829979.643830723,1830489.9180046457,1830326.0550086529,1824581.74023162,1829425.4111203165,1822451.2530264556,1829760.119072064,1826170.609887828,18291.993388019902
20,0.1755335127296345,189.6551724137931,1800379.790702138,1829233.686308753,1829743.8477728567,1829580.1757838654,1823836.1199869432,1828679.5006992982,1821701.7402590855,1829014.209058532,1825422.7698186082,18284.531989758805
22,0.3093471280836693,316.76413255360626,1801248.6509144623,1830109.6831539208,1830620.032696221,1830456.0420051022,1824711.5544555443,1829555.4189708421,1822583.702733345,1829890.1266463022,1826301.9169553944,18293.29500082739
23,0.4317339875536734,433.0188679245283,1801712.7389820837,1830573.857638009,1831084.2079161522,1830920.215930031,1825175.7262542248,1830019.5931233924,1823047.859701114,1830354.3007958608,1826766.092844089,18297.936757165506
24,0.3267903095668895,333.3333333333333,1801281.1655709282,1830139.4523450509,1830649.7282836204,1830485.8622815565,1824741.54330979,1829585.218889492,1822611.1040686239,1829919.9268347144,1826330.4443662309,18293.59150157706
25,0.1821517504007433,195.9418070444104,1800179.3173033537,1829019.5934485185,1829529.391075268,1829366.3353428831,1823623.1141409099,1828465.5598197787,1821475.979518886,1828800.269443972,1825202.5496875208,18282.385176612057
26,0.3432735424893097,348.99068322981367,1801499.8007673726,1830356.1723007679,1830866.3962283921,1830702.618311687,1824958.4183020503,1829801.9605499487,1822826.1335932089,1830136.6686838279,1826546.2822663826,18295.757859333007
27,0.2791926920089533,288.12056737588654,1800454.5584558614,1829293.5689144128,1829803.3317305893,1829640.334920396,1823897.19334186,1828739.5498150992,1821748.81278914,1829074.2595562271,1825475.932077811,18285.12436818676
28,0.1974501449383101,210.47368421052636,1800269.3528884246,1829113.519867272,1829623.4213178847,1829460.1897442942,1823716.7302484196,1828559.4428601537,1821573.232005248,1828894.1521310105,1825298.223511489,18283.326119607067
29,0.342581519156699,348.3333333333333,1801795.247192436,1830655.8829652837,1831166.2200365525,1831002.2504161473,1825257.790912612,1830101.6239599157,1823129.4533450028,1830436.331680974,1826847.893530488,18298.75679662656
