,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
0,0.0481520576981589,316.6666666666667,16385.930677927357,16388.88089979982,16370.400424350197,16383.400887906424,16314.271464745112,16387.199752662946,16387.31513208512,16389.680656155764,12183.680925550974,16385.930677927357
1,0.0604864561907106,363.1818181818182,16382.269617889977,16385.21993255581,16366.735748687495,16379.739668710225,16310.605357838353,16383.53844058624,16383.653815439542,16386.01966389544,12178.71998263449,16382.269617889977
2,0.1310635562513421,629.3402777777778,16380.781888133804,16383.732143888888,16365.250316973115,16378.25204001711,16309.12083667699,16382.05087090196,16382.166248657652,16384.53189111846,12178.655355533763,16380.781888133804
3,0.1810606392307693,817.8879310344828,16386.168066791764,16389.11817055027,16370.642411383446,16383.63847920152,16314.5152765583,16387.437461750415,16387.55284697165,16389.917958644273,12186.262252255652,16386.168066791764
4,0.186805352435278,839.5522388059702,16386.566166764038,16389.516285134792,16371.03994265888,16384.036554139748,16314.912581819988,16387.835522142053,16387.95090664685,16390.316069308716,12186.303620943943,16386.566166764038
5,0.2097774100518578,926.183844011142,16386.842243508083,16389.792360233747,16371.31608325676,16384.31263370181,16315.188747696233,16388.111603341575,16388.226987927006,16390.592144849117,12186.569580727808,16386.842243508083
7,0.0746690055974557,416.6666666666667,16382.332355281267,16385.282614271833,16366.800657143684,16379.80250161278,16310.671126073992,16383.60132925713,16383.716706853374,16386.08236062956,12179.897403661467,16382.332355281267
8,0.0988652809633946,507.9150088885127,16386.79368155511,16389.743830904943,16371.266251743293,16384.264015848443,16315.138412097956,16388.06295298715,16388.178335972152,16390.543606762076,12185.871233300411,16386.79368155511
9,0.0086486045456167,167.69230769230768,16381.64187517965,16384.59200535895,16366.115194313492,16379.112242331306,16309.987653554956,16382.911198582708,16383.02658250891,16385.39178636329,12181.913297504274,16381.64187517965
10,0.3070067525266651,1292.8525226390686,16387.6392084736,16390.58930740036,16372.11374020293,16385.109629157938,16315.986679283984,16388.908616512133,16389.02400197002,16391.389096790317,12187.600198197142,16387.6392084736
11,0.156895838782893,726.7582861762328,16389.281073400314,16392.231254338763,16373.752412399284,16386.751353550037,16317.624083415923,16390.550259178657,16390.665640612362,16393.03102170738,12187.332143989974,16389.281073400314
12,0.225501728503143,985.4829704075936,16386.861044217076,16389.811160659396,16371.33489497955,16384.331434896216,16315.207563787832,16388.130404818057,16388.245789417382,16390.61094535079,12186.591143785356,16386.861044217076
13,0.0434353652220905,298.87920298879203,16390.481045186043,16393.43115563498,16374.955127123689,16387.951446127117,16318.827886672414,16391.75042200865,16391.86580690142,16394.230941934627,12189.764821717994,16390.481045186043
14,0.2599809319003739,1115.5100139729857,16386.865211985583,16389.81532828634,16371.33906825351,16384.33560290725,16315.211739247196,16388.13457297003,16388.249957576292,16390.61511301572,12186.597510363408,16386.865211985583
15,0.0772121911376696,426.25745950554136,16387.67760835353,16390.627769802006,16372.14970708756,16385.147921911182,16316.02168005123,16388.946846985626,16389.062229376636,16391.427542408957,12186.372798405568,16387.67760835353
16,0.1357619737968159,647.0588235294117,16383.966935440005,16386.917160062174,16368.436575812044,16381.437140707498,16312.307574747929,16385.236002719696,16385.35138200686,16387.716915677727,12181.9694476709,16383.966935440005
17,0.1574346104716699,728.7900874635568,16382.446429175294,16385.396651613286,16366.91615548893,16379.916638190449,16310.787188950178,16383.715502388506,16383.830881783262,16386.196407816744,12180.731364153393,16382.446429175294
18,0.1634921153908518,751.6339869281046,16382.113733369064,16385.063996108882,16366.581889198122,16379.583873270354,16310.452300334848,16383.382697163051,16383.49807457474,16385.863741456073,12179.637358651236,16382.113733369064
19,0.0923517179005134,483.3512352309345,16386.427770616145,16389.37800327652,16370.8970964178,16383.897962096196,16314.76796991831,16387.696816068597,16387.812194960108,16390.177756727902,12183.882440701524,16386.427770616145
20,0.0750403914223758,418.06722689075633,16384.14472205116,16387.094975452765,16368.613240768736,16381.614877965314,16312.483795084325,16385.41371119841,16385.529089069565,16387.894723316775,12181.538513252784,16384.14472205116
21,0.0984842856601339,506.4782096584217,16381.58239327675,16384.532643619048,16366.051032653815,16379.052554441974,16309.92163554582,16382.851390740634,16382.966768762655,16385.33239230721,12179.43961366724,16381.58239327675
22,0.1027790259480668,522.6744186046511,16386.127729393575,16389.077834505708,16370.602021350536,16383.598139484511,16314.474865627806,16387.397120686324,16387.51250584121,16389.877622236636,12186.200971206435,16386.127729393575
23,0.1995130975809299,887.4753451676529,16386.263111075477,16389.213220107176,16370.737250478283,16383.733514451473,16314.610034114205,16387.53249175183,16387.647876714556,16390.013006786725,12186.236186753958,16386.263111075477
25,0.0893929142333891,472.193074501574,16385.955066159902,16388.905278572835,16370.425181106575,16383.425292358084,16314.29636761288,16387.224166566546,16387.33954645385,16389.705037474916,12183.892348750403,16385.955066159902
26,0.1359691637721439,647.840172786177,16389.268424720114,16392.218591507295,16373.74031473075,16386.73872912524,16317.612204386623,16390.537648872196,16390.653031000904,16393.018362679755,12187.606800552663,16389.268424720114
27,0.1737868009334063,790.4570278815752,16386.393629063463,16389.343838111654,16370.863874844525,16383.863861029744,16314.735113101196,16387.662738598647,16387.778118651328,16390.14359791924,12184.33007451628,16386.393629063463
28,0.1288150912637902,620.8609271523179,16388.503743554902,16391.453975631175,16372.973090971172,16385.973936033133,16316.843972420997,16389.772790585488,16389.888169505495,16392.253729239994,12185.644991418356,16388.503743554902
29,0.1200415261670466,587.7742946708464,16379.973643256855,16382.923836386795,16364.444512616445,16377.44390252351,16308.31600010408,16381.242796001268,16381.358176837048,16383.723600476362,12179.237588738728,16379.973643256855
30,0.1055903612251908,533.2764505119454,16386.373391760502,16389.32365218858,16370.84163535462,16383.8435356198,16314.712079994772,16387.64236181783,16387.757739342855,16390.123398159158,12183.276093011167,16386.373391760502
31,0.1802457426039151,814.8148148148148,16381.123888866288,16384.074027204657,16365.596890766648,16378.594242038364,16309.469224202445,16382.393190162114,16382.508573688105,16384.873806018502,12181.312119100605,16381.123888866288
32,0.0313729720217677,253.38983050847455,16381.63131785524,16384.581449642068,16366.10457443886,16379.10168225251,16309.977008845948,16382.900636902585,16383.016020749934,16385.381230214876,12181.8720027783,16381.63131785524
33,0.1591592807667837,735.2941176470588,16385.048398305084,16387.99857099505,16369.520060823825,16382.51869260009,16313.391861466442,16386.317606466982,16386.432988306304,16388.798340580757,12183.928923684243,16385.048398305084
34,0.1157068867087683,571.427619047619,16384.44823012599,16387.39839096579,16368.92035433969,16381.918544732149,16312.792338379855,16385.71747041978,16385.83285284104,16388.198163736062,12183.661731181248,16384.44823012599
35,0.0720257691641127,406.6985645933015,16386.332947071078,16389.28305022621,16370.807315042885,16383.80336051418,16314.680189456569,16387.602343663224,16387.717728914016,16390.08283848206,12186.413448026951,16386.332947071078
36,0.0897354532675107,473.4848484848485,16384.78251306036,16387.732732180764,16369.252367340574,16382.252727760078,16313.123450840518,16386.051595268997,16386.166974826636,16388.53248927745,12182.768213905154,16384.78251306036
37,0.0641590152973392,377.0316742081448,16381.955048670812,16384.905299254468,16366.423678434678,16379.425209421492,16310.294277406168,16383.224045477986,16383.339423488083,16385.70504787763,12179.748969595856,16381.955048670812
38,0.1739523245749185,791.0812461820403,16386.068014030614,16389.018168855488,16370.540371501394,16383.538338942466,16314.412447637294,16387.337270624495,16387.45265334085,16389.817943241873,12185.148915259946,16386.068014030614
39,0.1713453781469752,781.25,16389.6489358918,16392.599240188047,16374.115467108652,16387.11900449213,16317.985232579234,16390.91778674922,16391.033162112893,16393.3989743273,12185.152639155243,16389.6489358918
40,0.1228864497816061,598.502994011976,16386.168066791764,16389.11817055027,16370.642411383446,16383.63847920152,16314.5152765583,16387.437461750415,16387.55284697165,16389.917958644273,12186.262252255652,16386.168066791764
41,0.1713453781469752,781.25,16382.16537973908,16385.115641451324,16366.633575597562,16379.63552140277,16310.504002578273,16383.434346323767,16383.54972378604,16385.915387075485,12179.701655319192,16382.16537973908
42,0.2627960008289532,1126.126126126126,16380.690780677329,16383.641032228445,16365.15937343098,16378.16093977087,16309.029958113297,16381.959774861947,16382.075152824576,16384.440780590838,12178.66340438468,16380.690780677329
43,0.1020698517600624,520.0,16383.954761087833,16386.90497242844,16368.424918913362,16381.424989127823,16312.296123019096,16385.2238644114,16385.339244351657,16387.70473161896,12182.227159184911,16383.954761087833
44,0.2079036702875498,919.1176470588236,16389.386058145457,16392.33615498243,16373.860670197048,16386.85648240673,16317.73364066811,16390.65547183689,16390.770857397,16393.135944932917,12189.1154889772,16389.386058145457
45,0.0192553837053355,207.69230769230768,16381.63131785524,16384.581449642068,16366.10457443886,16379.10168225251,16309.977008845948,16382.900636902585,16383.016020749934,16385.381230214876,12181.8720027783,16381.63131785524
46,0.1232478645729324,599.8659517426273,16382.045609179637,16384.995839888583,16366.51501344292,16379.51580401318,16310.385919351853,16383.314659944892,16383.430038932893,16385.795593865147,12180.226480028115,16382.045609179637
47,0.2208868697988371,968.0795395081108,16384.986690458787,16387.936889744407,16369.457317294464,16382.456939164458,16313.328707091356,16386.25582648637,16386.371207019074,16388.736652178533,12183.340537054171,16384.986690458787
48,0.2830769379422822,1202.6090501426825,16386.07691640238,16389.027100155963,16370.548147546207,16383.547191731916,16314.419776729206,16387.34609455728,16387.461475853055,16389.826866767446,12184.573173663755,16386.07691640238
49,0.1124868004202783,559.2841163310962,16389.820068000852,16392.770245960084,16374.291522711932,16387.290353256303,16318.163239476718,16391.089261856756,16391.204643436733,16393.570014129684,12187.84679796644,16389.820068000852
50,0.0408295820067292,289.05234348272324,16382.681387021572,16385.631672481246,16367.148656710557,16380.151487949692,16311.01871666723,16383.950289093693,16384.065665386377,16386.431411702342,12179.657219574578,16382.681387021572
51,0.0896272838996231,473.0769230769231,16389.371996676,16392.322158675586,16373.844073019358,16386.842309286334,16317.716036591068,16390.641233807928,16390.756616171693,16393.121931134574,12187.790666842411,16389.371996676
52,0.3013758719626712,1271.617497456765,16387.34562513918,16390.29571664702,16371.820445596444,16384.81605853239,16315.693499483075,16388.615053268208,16388.730439089697,16391.09550802629,12187.502022265642,16387.34562513918
53,0.1343918612265025,641.8918918918919,16385.351700019135,16388.301862956196,16369.823742086266,16382.822011029411,16313.695693255013,16386.62093462382,16386.736316942013,16389.101635163,12184.3813235623,16385.351700019135
54,0.1412666092341081,667.8177564888048,16388.332693614193,16391.282831631164,16372.805704039582,16385.803047325076,16316.678038706055,16389.601995755216,16389.717379296162,16392.08261053181,12187.39753210048,16388.332693614193
55,0.2917440202632677,1235.2941176470588,16388.014367768377,16390.964508475627,16372.487273667048,16385.484716869854,16316.3595669291,16389.283662619866,16389.39904602885,16391.764286653877,12187.07485774814,16388.014367768377
