,Norm Price,Housing Price/SQ Ft,dist_hospitals,dist_gym,dist_cemetary,dist_parks,dist_beaches,dist_shopping,dist_grocery,dist_resturant,dist_golf,dist_school
283,0.0120346147181523,453.7163702690378,2144230.17196506,2144733.817847135,2140629.947205562,2145409.933479956,2140402.2566706613,2144573.2730909227,2144573.2730909227,2144720.2844705023,1959533.2599212746,21445.113369853243
284,0.0198991725430499,704.8360655737705,2143603.7080494026,2144106.282293257,2140003.977420725,2144784.5740317586,2139776.3305981844,2143945.9610393494,2143945.9610393494,2144092.703732403,1958745.8569867369,21438.837039420963
285,0.0111593260713513,425.7679180887372,2144767.418103659,2145271.295441957,2141167.0867968556,2145946.9407566497,2140939.3868281343,2145110.7024322017,2145110.7024322017,2145257.771822748,1960103.1034314502,21450.48835646002
286,0.0189498543694246,674.5238095238095,2144059.3080352554,2144562.4007563055,2140459.3380862772,2145239.639697691,2140231.670098089,2144401.9713701922,2144401.9713701922,2144548.8440524703,1959278.4777764697,21443.398695506185
287,0.0124983829645838,468.5247477174435,2143813.5431567966,2144316.3795668227,2140213.6914665624,2144994.1389989303,2139986.033938781,2144156.0036345855,2144156.0036345855,2144302.812057554,1958994.744809697,21440.93825050845
288,0.0147102323773392,539.1503267973857,2144903.6107593225,2145407.6163517134,2141303.220474457,2146083.001114397,2141075.5152835273,2145246.9965982256,2145246.9965982256,2145394.098141289,1960258.2378063092,21451.85168235351
289,0.0134640481949197,499.3589743589744,2145199.0014402242,2145702.9982641786,2141598.6151394625,2146378.400693096,2141370.9102998944,2145542.380350712,2145542.380350712,2145689.479680862,1960550.6807868124,21454.80549342241
290,0.0109509457598387,419.1142191142191,2143592.647376121,2144095.487138137,2139992.7941736514,2144773.239872253,2139765.1365131894,2143935.1104982607,2143935.1104982607,2144081.919772454,1958775.5610680492,21438.729329321053
291,0.0109897726199098,420.353982300885,2144350.519282741,2144853.8510958934,2140750.4391039386,2145530.604435729,2140522.7613627203,2144693.37185083,2144693.37185083,2144840.304471921,1959604.7773681718,21446.31341640551
292,0.01138067840398,432.8358208955224,2144861.5140685453,2145365.212562878,2141261.265003196,2146041.221044957,2141033.572314028,2145204.6568574877,2145204.6568574877,2145351.6813989477,1960169.2489532684,21451.42736477245
