,address,latitude,longitude,City
44,6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
45,6400 Quander Rd Alexandria VA 22307,38.778789,-77.070671,Alexandria
46,8410 Old Mount Vernon Rd Alexandria VA 22309,38.729699,-77.094375,Alexandria
47,6301 Rose Hill Dr Alexandria VA 22310,38.78183,-77.117707,Alexandria
48,435 Ferdinand Day Dr Alexandria VA 22304,38.805451,-77.126643,Alexandria
49,8428 Fort Hunt Rd Alexandria VA 22308,38.728453,-77.061307,Alexandria
50,8484 Riverside Rd Alexandria VA 22308,38.728255,-77.068797,Alexandria
51,6560 Braddock Rd Alexandria VA 22312,38.818161,-77.168419,Alexandria
52,4700 Franconia Rd Alexandria VA 22310,38.790027,-77.113655,Alexandria
53,6520 Diana Ln Alexandria VA 22310,38.774812,-77.102151,Alexandria
54,9100 Cherrytree Dr Alexandria VA 22309,38.71014,-77.104248,Alexandria
55,1205 Waynewood Blvd Alexandria VA 22308,38.725188,-77.056351,Alexandria
56,6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
57,6500 Quander Rd Alexandria VA 22307,38.775055,-77.071742,Alexandria
58,6520 Braddock Rd Alexandria VA 22312,38.819464,-77.165235,Alexandria
59,2500 Parkers Ln Alexandria VA 22306,38.742281,-77.075021,Alexandria
60,5700 Sanger Ave Alexandria VA 22311,38.828,-77.131433,Alexandria
61,8505 Highland Ln Alexandria VA 22309,38.726093,-77.118479,Alexandria
62,8718 Old Mt Vernon Rd Alexandria VA 22309,38.720238,-77.096058,Alexandria
63,2000 W Ball Rd Anaheim CA 92804,33.816794,-117.952299,Anaheim
64,811 W. Lincoln Ave. Anaheim CA 92805,33.834036,-117.924925,Anaheim
65,6450 E. Serrano Anaheim CA 92807,33.829554,-117.760809,Anaheim
66,1500 W. Ball Rd. Anaheim CA 92802,33.8171,-117.934404,Anaheim
67,1926 Clearbrook Ln. Anaheim CA 92804,33.823251,-117.951396,Anaheim
68,601 N. Brookhurst Ave. Anaheim CA 92801,33.82415,-117.897707,Anaheim
69,830 S. Dale St. Anaheim CA 92801,33.82415,-117.897707,Anaheim
70,220 S. Imperial Hwy. Anaheim CA 92807,33.847081,-117.789627,Anaheim
71,260 S. Imperial Hwy. Anaheim CA 92807,33.846023,-117.789636,Anaheim
72,1090 The Highlands Dr. Anaheim CA 92808,33.845151,-117.741771,Anaheim
73,195 N. W.ern Ave. Anaheim CA 92801,33.82415,-117.897707,Anaheim
74,3731 Cerritos Anaheim CA 92804,33.810397,-118.015787,Anaheim
75,5001 Gerda Dr. Anaheim CA 92807,33.850955,-117.808143,Anaheim
76,900 S. Dale St. Anaheim CA 92804,33.819641,-117.982671,Anaheim
77,320 Danbrook St. Anaheim CA 92804,33.827575,-118.007257,Anaheim
78,229 S. Dale Ave. Anaheim CA 92804,33.828863,-117.986747,Anaheim
79,1411 S. Gilbert St. Anaheim CA 92804,33.81172,-117.968178,Anaheim
80,2627 Crescent Ave. Anaheim CA 92801,33.840923,-117.977741,Anaheim
81,1526 E. Romneya Dr. Anaheim CA 92805,33.850379,-117.896927,Anaheim
82,181 S. Del Giorgio Rd. Anaheim CA 92808,33.857001,-117.767106,Anaheim
83,100 S. Anaheim Blvd. Ste. 150 Anaheim CA 92805,33.835254,-117.913416,Anaheim
84,10802 Rustic Ln. Anaheim CA 92804,33.82415,-117.897707,Anaheim
85,521 W. Water St. Anaheim CA 92805,33.827693,-117.918601,Anaheim
86,810 N. Gilbert St. Anaheim CA 92801,33.842611,-117.967492,Anaheim
87,1800 Ball Rd. Anaheim CA 92804,33.816291,-117.947432,Anaheim
88,1051 S. Sunkist St. Anaheim CA 92806,33.823177,-117.881202,Anaheim
89,1300 S. Knott Anaheim CA 92804,33.814903,-118.010195,Anaheim
90,1123 W. Romneya Dr. Anaheim CA 92801,33.851366,-117.932609,Anaheim
91,400 S. Imperial Hwy. Anaheim CA 92807,33.845234,-117.789262,Anaheim
92,504 E. S. St. Anaheim CA 92805,33.827493,-117.906502,Anaheim
93,841 S. Sunkist St. Anaheim CA 92806,33.830452,-117.880932,Anaheim
94,215 N. Ventura Anaheim CA 92801,33.833337,-117.964517,Anaheim
95,2200 E. Wagner Ave. Anaheim CA 92806,33.824706,-117.885495,Anaheim
96,1413 E. BRd.way Anaheim CA 92805,33.837486,-117.898505,Anaheim
