hospital,grocery,gym,parks,beaches,cemetary,shopping,resturant,golf
"757 Westwood Plz,Los Angeles, CA 90095","2738 Hyperion Ave,Los Angeles, CA 90027","120 N Robertson Blvd Ste N,Los Angeles, CA 90048","5101 Zoo Dr,Los Angeles, CA 90027",,"5950 Forest Lawn Dr,Los Angeles, CA 90068","5455 Hollywood Blvd,Los Angeles, CA 90027","143 N la Brea Ave,Los Angeles, CA 90036","10000 W Pico Blvd,Los Angeles, CA 90064"
"8934 Topanga Canyon Blvd Unit 103,Los Angeles, CA 91304","6350 W 3rd St,Los Angeles, CA 90036","1123 Vine St Ste 14,Los Angeles, CA 90038","461 Almaden Ct,Los Angeles, CA 90077",,"3620 Whittier Blvd,Los Angeles, CA 90023","5080 Obama Blvd,Los Angeles, CA 90016","3377 Wilshire Blvd Ste 115,Los Angeles, CA 90010","10101 Wilshire Blvd,Los Angeles, CA 90024"
"515 S Figueroa St,Los Angeles, CA 90071","1751 Westwood Blvd,Los Angeles, CA 90024","7574 W Sunset Blvd,Los Angeles, CA 90046","2650 N Commonwealth Ave,Los Angeles, CA 90027",,"1068 S Downey Rd,Los Angeles, CA 90023","317 S Broadway Ste 35,Los Angeles, CA 90013","10509 W Pico Blvd,Los Angeles, CA 90064","10786 Bellagio Rd,Los Angeles, CA 90077"
"441 Bauchet St,Los Angeles, CA 90012","317 S Broadway Ste 35,Los Angeles, CA 90013","5037 W Pico Blvd,Los Angeles, CA 90019","532 S Olive St,Los Angeles, CA 90013",,"3640 Whittier Blvd,Los Angeles, CA 90023","5423 W Pico Blvd,Los Angeles, CA 90019Los Angeles, CA 90012","1880 Century Park E,Los Angeles, CA 90067","12455 Mountain Gate Dr,Los Angeles, CA 90049"
"1317 Shatto St,Los Angeles, CA 90017","12146 Santa Monica Blvd,Los Angeles, CA 90025","621 S Western Ave,Los Angeles, CA 90005","835 Academy Rd,Los Angeles, CA 90012",,"900 N Gower St,Los Angeles, CA 90038","621 S Western Ave Ste 107,Los Angeles, CA 90005","6335 Wilshire Blvd,Los Angeles, CA 90048","1921 S Western Ave,Los Angeles, CA 90018"
"1411 W Sunset Blvd,Los Angeles, CA 90026","5244 Santa Monica Blvd,Los Angeles, CA 90029","11601 La Tijera Blvd,Los Angeles, CA 90045","2630 Pepper Ave,Los Angeles, CA 90065",,"1218 Glendon Ave,Los Angeles, CA 90024","4520 W Sunset Blvd,Los Angeles, CA 90027","3229 Helms Ave,Los Angeles, CA 90034","3250 Wilshire Blvd Ste 2150,Los Angeles, CA 90010"
"1800 Wilshire Blvd,Los Angeles, CA 90057","904 N Western Ave,Los Angeles, CA 90029","828 N La Brea Ave,Los Angeles, CA 90038","5790 Compton Ave,Los Angeles, CA 90011",,"2814 N Broadway,Los Angeles, CA 90031","2925 Division St,Los Angeles, CA 90065","11513 Santa Monica Blvd,Los Angeles, CA 90025","3921 Wilshire Blvd Apt 706,Los Angeles, CA 90010"
"1240 N Mission Rd,Los Angeles, CA 90033","5315 Santa Monica Blvd,Los Angeles, CA 90029","12625 W Washington Blvd,Los Angeles, CA 90066","1950 W 54th St,Los Angeles, CA 90062",,"4201 Whittier Blvd,Los Angeles, CA 90023","1115 N Alvarado St,Los Angeles, CA 90026","908 S Barrington Ave,Los Angeles, CA 90049","125 Paseo De La Plz,Los Angeles, CA 90012"
"403 W Adams Blvd,Los Angeles, CA 90007","7825 Beverly Blvd,Los Angeles, CA 90036","12424 Wilshire Blvd,Los Angeles, CA 90025","6240 Meridian St,Los Angeles, CA 90042",,"3223 E Pico Blvd,Los Angeles, CA 90023","3293 Fletcher Dr,Los Angeles, CA 90065","222 N Western Ave,Los Angeles, CA 90004","626 Wilshire Blvd Ste 100,Los Angeles, CA 90017"
"500 S Virgil Ave,Los Angeles, CA 90020","5070 Hollywood Blvd,Los Angeles, CA 90027","5119 W Sunset Blvd,Los Angeles, CA 90027","3900 Chevy Chase Dr,Los Angeles, CA 90039",,"4601 Crenshaw Blvd,Los Angeles, CA 90043","2900 Hyperion Ave,Los Angeles, CA 90027","8432 W 3rd St,Los Angeles, CA 90048","1055 Wilshire Blvd,Los Angeles, CA 90017"
"505 S Virgil Ave,Los Angeles, CA 90020","1401 N Main St,Los Angeles, CA 90012","3462 N San Fernando Rd,Los Angeles, CA 90065","360 W El Segundo Blvd,Los Angeles, CA 90061",,"969 Colorado Blvd Ste 205,Los Angeles, CA 90041","4140 Crenshaw Blvd,Los Angeles, CA 90008","8321 Lincoln Blvd,Los Angeles, CA 90045","1314 S Grand Ave,Los Angeles, CA 90015"
"4211 Avalon Blvd,Los Angeles, CA 90011","5824 S Vermont Ave,Los Angeles, CA 90044","12424 Wilshire Blvd Ste 101,Los Angeles, CA 90025","210 W Temple St,Los Angeles, CA 90012",,"5450 Alhambra Ave,Los Angeles, CA 90032","1007 Cypress Ave,Los Angeles, CA 90065","4771 W Adams Blvd,Los Angeles, CA 90016","626 Coronado Ter,Los Angeles, CA 90026"
"4060 Whittier Blvd,Los Angeles, CA 90023","8922 W Pico Blvd,Los Angeles, CA 90035","1710 N Mccadden Pl,Los Angeles, CA 90028","132 Paseo De La Plz,Los Angeles, CA 90012",,"1022 S Downey Rd,Los Angeles, CA 90023","7316 Compton Ave,Los Angeles, CA 90001","3767 Santa Rosalia Dr,Los Angeles, CA 90008","950 S Western AVE,Los Angeles, CA 90006"
"4081 E Olympic Blvd,Los Angeles, CA 90023","649 Wall St Ste 4,Los Angeles, CA 90014","1872 S Sepulveda Blvd,Los Angeles, CA 90025","125 Paseo De La Plz,Los Angeles, CA 90012",,"1712 S Glendale Ave,Glendale, CA 91205","11840 Wilmington Ave,Los Angeles, CA 90059","5300 E Olympic Blvd,Los Angeles, CA 90022","3921 Wilshire Blvd,Los Angeles, CA 90010"
"4650 W Sunset Blvd,Los Angeles, CA 90027","1429 W 3rd St,Los Angeles, CA 90017","2619 N Broadway,Los Angeles, CA 90031","428 S Spring St,Los Angeles, CA 90013",,"5961 Atlantic Blvd,Maywood, CA 90270","4632 Santa Monica Blvd,Los Angeles, CA 90029","7313 Beverly Blvd,Los Angeles, CA 90036","4914 Santa Monica Blvd,Los Angeles, CA 90029"
"903 Crenshaw Blvd Ste 200,Los Angeles, CA 90019","1114 E 8th St,Los Angeles, CA 90021","11022 Santa Monica Blvd,Los Angeles, CA 90025","448 S Hill St,Los Angeles, CA 90013",,"815 S Central Ave,Glendale, CA 91204","255 S Hill St,Los Angeles, CA 90012","7963 Melrose Ave,Los Angeles, CA 90046","Ste A,Los Angeles, CA 90042"
"5055 Wilshire Blvd Ste 845,Los Angeles, CA 90036","808 N State St,Los Angeles, CA 90033","8000 W Sunset Blvd,Los Angeles, CA 90046","E 6th St,Los Angeles, CA 90021",,"1343 E Colorado St,Glendale, CA 91205","114 Japanese Village Plaza Mall,Los Angeles, CA 90012","11930 San Vicente Blvd,Los Angeles, CA 90049","1123 Vine St,Los Angeles, CA 90068"
"8436 West Blvd,Los Angeles, CA 90016","1930 W 7th St,Los Angeles, CA 90057","1550 Vine St,Los Angeles, CA 90028","640 N. Spring Street,Los Angeles, CA 90013",,"4105 Bandini Blvd,Vernon, CA 90058","1524 S Flower St,Los Angeles, CA 90015","8412 W 3rd St,Los Angeles, CA 90048","4730 Crystal Springs Dr,Los Angeles, CA 90027"
"5757 Wilshire Blvd,Los Angeles, CA 90036","1830 N Broadway,Los Angeles, CA 90031","903 S Hill St,Los Angeles, CA 90015","549 S Olive St,Los Angeles, CA 90013",,"511 S Central Ave,Glendale, CA 91204","304 S Los Angeles St,Los Angeles, CA 90013","9618 W Pico Blvd,Los Angeles, CA 90035","5919 W 3rd St Ste 2a,Los Angeles, CA 90036"
"7000 Hollywood Blvd,Los Angeles, CA 90028","1831 James M Wood Blvd,Los Angeles, CA 90006","8000 Sunset Blvd La,Los Angeles, CA 90046","Scott Road &amp; Academy Road,Los Angeles, CA 90012",,"3801 W Manchester Blvd,Inglewood, CA 90305","5817 N Figueroa St,Los Angeles, CA 90042","11769 Santa Monica Blvd,Los Angeles, CA 90025","2102 Colorado Blvd,Los Angeles, CA 90041"
"1680 E 120th St,Los Angeles, CA 90059","416 E 36th St,Los Angeles, CA 90011","777 S Alameda St,Los Angeles, CA 90021","767 N Hill St,Los Angeles, CA 90012",,"5315 Laurel Canyon Blvd,North Hollywood, CA 91607","1601 E Imperial Hwy Ste 103B,Los Angeles, CA 90059","2260 Westwood Blvd,Los Angeles, CA 90064","1538 N Martel Ave,Los Angeles, CA 90046"
