"6920 Woodrow Wilson Dr, Los Angeles, CA 90068",1899000,Los Angeles,2907,34.124844,-118.345589
"8340 Grand View Dr, Los Angeles, CA 90046",1195000,Los Angeles,,34.103138,-118.372179
"1041 W 78th St, Los Angeles, CA 90044",560000,Los Angeles,1204,33.969665,-118.29329
"2667 Cimarron St, Los Angeles, CA 90018",940000,Los Angeles,1768,34.031186,-118.315332
"2413 San Marco Dr, Los Angeles, CA 90068",170000,Los Angeles,,34.114814,-118.331806
"2312 Lorenzo Dr, Los Angeles, CA 90068",1925000,Los Angeles,2684,34.112316,-118.332506
"3825 Hammel St, Los Angeles, CA 90063",749000,Los Angeles,1789,34.042624,-118.183812
"3710 Raymond Ave, Los Angeles, CA 90007",869000,Los Angeles,1236,34.020348,-118.297537
"2939 Leeward Ave, Apt 416, Los Angeles, CA 90005",819000,Los Angeles,1256,34.05904,-118.287792
"403 W 122nd St, Los Angeles, CA 90061",699000,Los Angeles,,33.921997,-118.280948
"407 W 122nd St, Los Angeles, CA 90061",699000,Los Angeles,,33.921694,-118.281045
"460 S Spring St, Apt 204, Los Angeles, CA 90013",408000,Los Angeles,460,34.047476,-118.248992
"1150 S Augusta Ave, East, Los Angeles, CA 90023",680000,Los Angeles,1008,34.019661,-118.17661
"5847 S Wilton Pl, Los Angeles, CA 90047",789000,Los Angeles,1880,33.987735,-118.315091
"8909 Crocker St, Los Angeles, CA 90003",635000,Los Angeles,968,33.955242,-118.268475
"641 N Hobart Blvd, Los Angeles, CA 90004",7750000,Los Angeles,16035,34.082824,-118.306087
"1812 Kemper St, Los Angeles, CA 90065",200000,Los Angeles,,34.101254,-118.232058
"1522 2nd Ave, Los Angeles, CA 90019",1650000,Los Angeles,3452,34.044611,-118.318557
"317 W 76th St, Los Angeles, CA 90003",1000000,Los Angeles,3820,33.971075,-118.279003
"1528 2nd Ave, Los Angeles, CA 90019",1349999,Los Angeles,4588,34.044474,-118.318557
"954 Dexter St, Los Angeles, CA 90042",1895000,Los Angeles,2520,34.115624,-118.208307
"154 E 47th St, Los Angeles, CA 90011",1050000,Los Angeles,2814,34.000799,-118.272747
"2927 8th Ave, Los Angeles, CA 90018",1299999,Los Angeles,2200,34.028366,-118.326309
"626 W 78th St, Los Angeles, CA 90044",1350000,Los Angeles,6158,33.968534,-118.285059
"1348 E Vernon Ave, Los Angeles, CA 90011",2500000,Los Angeles,5927,34.003622,-118.250955
"1975 Exposition Blvd, Los Angeles, CA 90018",749000,Los Angeles,1308,34.018865,-118.31615
"11645 Montana Ave, Apt 220, Los Angeles, CA 90049",789900,Los Angeles,1247,34.056388,-118.465985
"3808 Franklin Ave, Los Angeles, CA 90027",2999999,Los Angeles,3219,34.101489,-118.275969
"657 W 66th St, Los Angeles, CA 90044",390000,Los Angeles,560,33.979579,-118.285207
"353 S Hoover St, Los Angeles, CA 90020",1999999,Los Angeles,2875,34.067527,-118.284638
"534 W 91st St, Los Angeles, CA 90044",719000,Los Angeles,1608,33.953914,-118.283843
"1147 N Hudson Ave, Los Angeles, CA 90038",1399999,Los Angeles,1044,34.091573,-118.332519
"4225 Van Buren Pl, Los Angeles, CA 90037",925000,Los Angeles,1645,34.006523,-118.297264
"866 E 52nd St, Unit 866, Los Angeles, CA 90011",660000,Los Angeles,1568,33.995575,-118.2604
"7570 Shore Cliff Dr, Los Angeles, CA 90045",3099000,Los Angeles,4105,33.964989,-118.430805
"1368 E 49th St, Los Angeles, CA 90011",569900,Los Angeles,1702,33.998162,-118.250495
"1875 W Adams Blvd, Los Angeles, CA 90018",3998800,Los Angeles,9702,34.033014,-118.305419
"5909 Crenshaw Blvd, Los Angeles, CA 90043",3765000,Los Angeles,,33.986887,-118.331327
"130 S Hewitt St, Apt 20, Los Angeles, CA 90012",889500,Los Angeles,1260,34.047672,-118.235827
"8640 Holmes Ave, Los Angeles, CA 90002",739000,Los Angeles,2236,33.958669,-118.240556
"10580 Wilshire Blvd, Apt 4S, Los Angeles, CA 90024",1313000,Los Angeles,2560,34.061539,-118.43277
"41477 E 152nd St, Lake, Los Angeles, CA 93535",410000,Los Angeles,1752,34.63581,-117.859137
"10501 Wilshire Blvd, Unit 2003, Los Angeles, CA 90024",1199000,Los Angeles,1180,34.064156,-118.432778
"1568 Murray Cir, Los Angeles, CA 90026",1950000,Los Angeles,3136,34.089162,-118.273135
"3556 Multiview Dr, Los Angeles, CA 90068",4149000,Los Angeles,5720,34.131814,-118.359692
"10580 Sw Wilshire Blvd, Unit 12SW, Los Angeles, CA 90024",2798000,Los Angeles,2757,34.061537,-118.432779
"2626 Raymond Ave, Los Angeles, CA 90007",1200000,Los Angeles,5326,34.031872,-118.297749
"820 S Wilton Pl, Unit 201, Los Angeles, CA 90005",898000,Los Angeles,1473,34.057448,-118.31393
"8419 Truxton Ave, Los Angeles, CA 90045",1688888,Los Angeles,1681,33.96196,-118.393769
"1232 Hyperion Ave, Los Angeles, CA 90029",1500000,Los Angeles,1470,34.09458,-118.277595
"901 S Flower St, Unit 307, Los Angeles, CA 90015",1050000,Los Angeles,1689,34.045533,-118.262425
"312 W 5th St, Apt 907, Los Angeles, CA 90013",373000,Los Angeles,860,34.048033,-118.251248
